Level,Greek,Natural English Translation
A1,Μένω σε ένα παλιό κτίριο κοντά στο κέντρο της πόλης.,I live in an old building near the city center.
A1,Η αδελφή μου σπουδάζει βιολογία στο πανεπιστήμιο.,My sister studies biology at the university.
A1,Κάθε πρωί αγοράζω εφημερίδα από το περίπτερο.,Every morning I buy a newspaper from the kiosk.
A1,Το λεωφορείο σταματά μπροστά στο μουσείο.,The bus stops in front of the museum.
A1,Προτιμώ το τσάι χωρίς ζάχαρη.,I prefer tea without sugar.
A1,Ο γείτονάς μας παίζει πιάνο τα βράδια.,Our neighbor plays piano in the evenings.
A1,Το κατάστημα πουλάει φρέσκα λαχανικά και φρούτα.,The shop sells fresh vegetables and fruit.
A1,Διαβάζω ένα άρθρο για την κλιματική αλλαγή.,I am reading an article about climate change.
A1,Η συνάντηση αρχίζει στις δέκα και τελειώνει στις δώδεκα.,The meeting starts at ten and ends at twelve.
A1,Πηγαίνουμε συχνά για περπάτημα δίπλα στη θάλασσα.,We often go for a walk by the sea.
A1,Το παιδί ζωγραφίζει μια εικόνα με έντονα χρώματα.,The child draws a picture with bright colors.
A1,Η δασκάλα εξηγεί την άσκηση με απλό τρόπο.,The teacher explains the exercise in a simple way.
A1,Φοράω ένα ζεστό μπουφάν γιατί κάνει κρύο.,I wear a warm jacket because it is cold.
A1,Περιμένουμε το τρένο στην αποβάθρα τρία.,We are waiting for the train on platform three.
A1,Το εστιατόριο προσφέρει παραδοσιακά ελληνικά πιάτα.,The restaurant offers traditional Greek dishes.
A1,Ο πατέρας μου εργάζεται σε μια μεγάλη εταιρεία.,My father works at a large company.
A1,Η μητέρα μου διαβάζει ένα μυθιστόρημα.,My mother is reading a novel.
A1,Το ξενοδοχείο βρίσκεται κοντά στο λιμάνι.,The hotel is located near the port.
A1,Ακούω μουσική ενώ μαγειρεύω.,I listen to music while cooking.
A1,Το αεροπλάνο αναχωρεί στις έξι το απόγευμα.,The airplane departs at six in the afternoon.
A1,Το μάθημα διαρκεί περίπου δύο ώρες.,The lesson lasts about two hours.
A1,Συναντώ έναν παλιό φίλο στο καφέ.,I meet an old friend at the café.
A1,Το φαρμακείο ανοίγει στις οκτώ το πρωί.,The pharmacy opens at eight in the morning.
A1,Ο γιατρός εξετάζει τον ασθενή.,The doctor examines the patient.
A1,Γράφουμε σημειώσεις κατά τη διάρκεια του μαθήματος.,We take notes during the lesson.
A1,Το νησί έχει όμορφες παραλίες.,The island has beautiful beaches.
A1,Η βιβλιοθήκη κλείνει νωρίς το Σάββατο.,The library closes early on Saturday.
A1,Ο φοιτητής κάνει ερωτήσεις στον καθηγητή.,The student asks questions to the professor.
A1,Το παιδί κοιμάται ήσυχα στο δωμάτιό του.,The child sleeps quietly in his room.
A1,Η αγορά είναι γεμάτη κόσμο.,The market is full of people.
A1,Παραγγέλνω ένα σάντουιτς και έναν χυμό.,I order a sandwich and a juice.
A1,Η πόλη διαθέτει πολλά ιστορικά κτίρια.,The city has many historic buildings.
A1,Το πρόγραμμα αρχίζει αύριο.,The program starts tomorrow.
A1,Μαθαίνω νέες λέξεις κάθε μέρα.,I learn new words every day.
A1,Το δωμάτιο έχει θέα στο βουνό.,The room has a view of the mountain.
A1,Ο τουρίστας φωτογραφίζει το μνημείο.,The tourist photographs the monument.
A1,Η σερβιτόρα φέρνει τον λογαριασμό.,The waitress brings the bill.
A1,Το μουσείο φιλοξενεί μια έκθεση ζωγραφικής.,The museum hosts a painting exhibition.
A1,Αγοράζουμε εισιτήρια για τη συναυλία.,We buy tickets for the concert.
A1,Η τράπεζα βρίσκεται απέναντι από το δημαρχείο.,The bank is opposite the city hall.
