Level,Korean,Natural English Translation
High-Intermediate,요즘은 하루 일과를 마치고 나면 생각보다 피로가 오래 남아요.,"These days, after finishing my day, the fatigue lingers longer than I expect."
High-Intermediate,그는 대화를 시작하기 전에 분위기를 먼저 살펴보는 편이에요.,He tends to read the atmosphere before starting a conversation.
High-Intermediate,최근에는 운동보다 수면의 질을 더 중요하게 여기게 되었어요.,"Recently, I’ve come to value sleep quality more than exercise."
High-Intermediate,그는 자신의 의견이 다수와 다르더라도 차분하게 설명해요.,"Even when his opinion differs from the majority, he explains it calmly."
High-Intermediate,요즘은 작은 소비 습관도 장기적으로 영향을 미친다는 생각이 들어요.,"These days, I feel that even small spending habits have long-term effects."
High-Intermediate,그는 자신의 실수를 굳이 변명하지 않으려고 해요.,He tries not to make excuses for his mistakes.
High-Intermediate,최근에는 새로운 취미를 통해 예상치 못한 사람들을 만나게 되었어요.,"Recently, through a new hobby, I ended up meeting unexpected people."
High-Intermediate,그는 감정이 격해질수록 말을 줄이려고 해요.,"The more emotional he becomes, the more he tries to speak less."
High-Intermediate,요즘은 뉴스보다 직접 경험한 이야기를 더 신뢰하게 돼요.,"These days, I tend to trust firsthand experiences more than news."
High-Intermediate,그는 결과보다 과정에서 배운 점을 더 중요하게 생각해요.,He values what he learns from the process more than the outcome.
High-Intermediate,최근에는 장을 볼 때 성분표를 더 꼼꼼히 확인해요.,"Recently, I check ingredient labels more carefully when grocery shopping."
High-Intermediate,그는 자신의 기대치를 지나치게 높이지 않으려고 해요.,He tries not to set his expectations too high.
High-Intermediate,요즘은 시간 관리가 생각보다 훨씬 중요하다는 걸 느껴요.,"These days, I realize time management is much more important than I thought."
High-Intermediate,그는 새로운 환경에 들어가면 먼저 관찰하는 편이에요.,"When entering a new environment, he tends to observe first."
High-Intermediate,최근에는 가까운 거리는 걸어 다니려고 노력해요.,"Recently, I try to walk for shorter distances."
High-Intermediate,그는 갈등이 생겨도 감정을 바로 드러내지 않아요.,"Even when conflict arises, he doesn’t immediately reveal his emotions."
High-Intermediate,요즘은 주변 사람들의 조언을 예전보다 더 신중히 받아들여요.,"These days, I accept others’ advice more cautiously than before."
High-Intermediate,그는 자신의 생각을 정리한 뒤에야 결정을 내려요.,He makes decisions only after organizing his thoughts.
High-Intermediate,최근에는 작은 카페에서 보내는 시간이 더 편하게 느껴져요.,"Lately, time spent in small cafés feels more comfortable."
High-Intermediate,그는 실수를 반복하지 않기 위해 메모하는 습관이 있어요.,He has a habit of taking notes to avoid repeating mistakes.
High-Intermediate,요즘은 휴대폰 사용 시간을 줄이려고 의식적으로 노력해요.,"These days, I consciously try to reduce my phone usage."
High-Intermediate,그는 자신이 틀렸다는 걸 알게 되면 바로 인정해요.,"When he realizes he’s wrong, he admits it right away."
High-Intermediate,최근에는 가까운 사람들과 깊은 대화를 나누는 게 더 중요해졌어요.,"Recently, having deeper conversations with close people has become more important."
High-Intermediate,그는 상황을 단순하게 보지 않으려고 항상 한 번 더 생각해요.,He always thinks one more time to avoid oversimplifying situations.
High-Intermediate,요즘은 소비보다 경험에 더 가치를 두는 분위기가 느껴져요.,There’s a growing atmosphere of valuing experiences over consumption these days.
High-Intermediate,최근에는 온라인 강의를 통해 새로운 분야를 배우는 사람이 늘고 있어요.,More people are learning new fields through online courses recently.
High-Intermediate,그는 정보를 접하면 바로 판단하기보다 출처를 먼저 확인해요.,"When he encounters information, he checks the source before judging it."
High-Intermediate,요즘은 지역 상권을 살리려는 움직임이 눈에 띄게 늘었어요.,Efforts to revitalize local businesses have noticeably increased these days.
High-Intermediate,그는 자신의 감정 상태가 판단에 영향을 줄 수 있다는 걸 인식해요.,He recognizes that his emotional state can influence his judgment.
High-Intermediate,최근에는 개인 정보 보호에 대한 관심이 더 높아졌어요.,Interest in personal data protection has grown recently.
High-Intermediate,그는 일정을 무리하게 잡기보다 여유를 두는 편이에요.,He tends to leave space in his schedule rather than overbooking.
High-Intermediate,요즘은 중고 거래가 하나의 문화처럼 자리 잡았어요.,Secondhand trading has become almost a cultural norm these days.
High-Intermediate,그는 갈등이 생기면 상대의 입장을 먼저 정리해 보려고 해요.,"When conflict arises, he tries to summarize the other person’s perspective first."
High-Intermediate,최근에는 친환경 소비가 일상적인 선택이 되고 있어요.,Eco-friendly consumption is becoming an everyday choice.
High-Intermediate,그는 자신의 한계를 인정하는 것이 성장의 시작이라고 생각해요.,He believes acknowledging one’s limits is the beginning of growth.
High-Intermediate,요즘은 짧은 영상 콘텐츠가 여론 형성에 큰 영향을 줘요.,Short-form videos have a major influence on shaping public opinion these days.
High-Intermediate,그는 문제를 개인의 책임으로만 돌리지 않으려고 해요.,He tries not to attribute problems solely to individual responsibility.
High-Intermediate,최근에는 공유 오피스를 활용하는 프리랜서가 많아졌어요.,More freelancers are using shared office spaces recently.
High-Intermediate,그는 자신의 목표를 구체적인 단계로 나누어 계획해요.,He breaks his goals into concrete steps when planning.
High-Intermediate,요즘은 구독 서비스가 소비 습관을 바꾸고 있는 것 같아요.,Subscription services seem to be changing consumption habits these days.
High-Intermediate,그는 의견이 충돌해도 관계를 유지하려고 노력해요.,"Even when opinions clash, he tries to maintain the relationship."
High-Intermediate,최근에는 지역 기반 커뮤니티 활동이 다시 활발해지고 있어요.,Community-based activities are becoming active again recently.
High-Intermediate,그는 결정을 내리기 전에 장단점을 정리해 보는 편이에요.,He tends to organize the pros and cons before making decisions.
High-Intermediate,요즘은 자동화 기술이 업무 방식에 큰 변화를 주고 있어요.,Automation technology is bringing major changes to work practices.
High-Intermediate,그는 자신의 반응이 과하지 않았는지 돌아봐요.,He reflects on whether his reaction was excessive.
High-Intermediate,최근에는 식물성 식단을 선택하는 사람이 점점 늘고 있어요.,More people are gradually choosing plant-based diets.
High-Intermediate,그는 감정이 앞설 때는 잠시 거리를 두려고 해요.,"When emotions take over, he tries to step back briefly."
High-Intermediate,요즘은 뉴스 소비 방식도 세대별로 차이가 커요.,News consumption habits differ significantly by generation these days.
High-Intermediate,그는 실수를 했을 때 원인을 분석하려고 해요.,"When he makes a mistake, he tries to analyze the cause."
High-Intermediate,최근에는 워라밸을 중시하는 분위기가 사회 전반에 퍼지고 있어요.,An emphasis on work-life balance is spreading throughout society.
High-Intermediate,요즘은 장을 볼 때 계획 없이 가면 괜히 더 많이 사게 돼요.,"These days, if I go grocery shopping without a plan, I end up buying more than I need."
High-Intermediate,그는 피곤할수록 말수가 줄어드는 편이에요.,"The more tired he gets, the quieter he becomes."
High-Intermediate,최근에는 집에서 직접 요리하는 시간이 늘었어요.,"Recently, I’ve been spending more time cooking at home."
High-Intermediate,그는 대화를 하다가도 상대의 표정을 자주 살펴봐요.,"Even during a conversation, he often checks the other person’s expression."
High-Intermediate,요즘은 카페에서 오래 앉아 있으면 괜히 눈치가 보여요.,"These days, if I sit in a café too long, I feel a bit self-conscious."
High-Intermediate,그는 무언가를 시작하기 전에 준비 시간을 충분히 가져요.,He makes sure to take enough preparation time before starting something.
High-Intermediate,최근에는 택배가 예상보다 늦게 오는 경우가 많아요.,"Recently, deliveries have been arriving later than expected."
